logged_at,timestamp,symbol,strategy,label,direction,entry_price,stop_loss,take_profit,lot_size,risk_percent,atr,signal_score,signal_type,execution_time_ms,slippage_pips,spread_at_entry,status,exit_time,exit_price,profit,holding_period_minutes
2026-06-03T10:45:01.064976+00:00,2026-06-03T10:45:01.064976+00:00,SP500,"bollinger_{'period': 20, 'std_dev': 2.0, 'stop_atr_mult': 0.6, 'tp_atr_mult': 1.5}","bollinger_{'period': 20, 'std_dev': 2.0, 'stop_atr_mult': 0.6, 'tp_atr_mult': 1.5}:SP500:1",BUY,7600.93,7599.044798507353,7614.506571428572,0.16,1.0,0,0,,0,0,15,OPEN,,0,0,0
2026-06-03T10:45:01.102527+00:00,2026-06-03T10:45:01.102527+00:00,SP500,"volatility_{'volatility_window': 14, 'volatility_threshold': 1.2, 'stop_atr_mult': 0.5, 'tp_atr_mult': 1.5}","volatility_{'volatility_window': 14, 'volatility_threshold': 1.2, 'stop_atr_mult': 0.5, 'tp_atr_mult': 1.5}:SP500:1",SELL,7600.78,7602.952857142857,7593.461428571429,0.11,1.0,0,0,,0,0,15,OPEN,,0,0,0
2026-06-03T10:45:01.139393+00:00,2026-06-03T10:45:01.139393+00:00,SP500,"bollinger_{'period': 15, 'std_dev': 1.5, 'stop_atr_mult': 0.5, 'tp_atr_mult': 1.3}","bollinger_{'period': 15, 'std_dev': 1.5, 'stop_atr_mult': 0.5, 'tp_atr_mult': 1.3}:SP500:1",BUY,7600.93,7600.0535390607365,7613.302761904762,0.47,1.0,0,0,,0,0,15,OPEN,,0,0,0
2026-06-03T10:45:01.175178+00:00,2026-06-03T10:45:01.175178+00:00,SP500,"bollinger_{'period': 25, 'std_dev': 2.5, 'stop_atr_mult': 0.7, 'tp_atr_mult': 1.8}","bollinger_{'period': 25, 'std_dev': 2.5, 'stop_atr_mult': 0.7, 'tp_atr_mult': 1.8}:SP500:1",BUY,7600.93,7597.086194099476,7616.808685714286,0.07,1.0,0,0,,0,0,15,OPEN,,0,0,0
2026-06-03T10:45:01.211939+00:00,2026-06-03T10:45:01.211939+00:00,SP500,"bollinger_{'period': 18, 'std_dev': 1.8, 'stop_atr_mult': 0.55, 'tp_atr_mult': 1.4}","bollinger_{'period': 18, 'std_dev': 1.8, 'stop_atr_mult': 0.55, 'tp_atr_mult': 1.4}:SP500:1",BUY,7600.93,7599.524143234825,7613.991777777777,0.24,1.0,0,0,,0,0,15,OPEN,,0,0,0
2026-06-03T10:45:01.248848+00:00,2026-06-03T10:45:01.248848+00:00,SP500,"bollinger_{'period': 22, 'std_dev': 2.2, 'stop_atr_mult': 0.65, 'tp_atr_mult': 1.6}","bollinger_{'period': 22, 'std_dev': 2.2, 'stop_atr_mult': 0.65, 'tp_atr_mult': 1.6}:SP500:1",BUY,7600.93,7598.4845136330505,7615.221324675325,0.12,1.0,0,0,,0,0,15,OPEN,,0,0,0
2026-06-03T10:45:01.284999+00:00,2026-06-03T10:45:01.284999+00:00,SP500,"volatility_{'volatility_window': 10, 'volatility_threshold': 1.0, 'stop_atr_mult': 0.4, 'tp_atr_mult': 1.2}","volatility_{'volatility_window': 10, 'volatility_threshold': 1.0, 'stop_atr_mult': 0.4, 'tp_atr_mult': 1.2}:SP500:1",SELL,7600.78,7602.478285714285,7594.885142857143,0.13,1.0,0,0,,0,0,15,OPEN,,0,0,0
2026-06-03T10:45:01.321531+00:00,2026-06-03T10:45:01.321531+00:00,SP500,"volatility_{'volatility_window': 12, 'volatility_threshold': 1.4, 'stop_atr_mult': 0.45, 'tp_atr_mult': 1.35}","volatility_{'volatility_window': 12, 'volatility_threshold': 1.4, 'stop_atr_mult': 0.45, 'tp_atr_mult': 1.35}:SP500:1",SELL,7600.78,7602.715571428571,7594.173285714286,0.12,1.0,0,0,,0,0,15,OPEN,,0,0,0
2026-06-03T10:45:01.357723+00:00,2026-06-03T10:45:01.357723+00:00,SP500,"bollinger_{'period': 20, 'std_dev': 2.0, 'stop_atr_mult': 0.6, 'tp_atr_mult': 1.5}","bollinger_{'period': 20, 'std_dev': 2.0, 'stop_atr_mult': 0.6, 'tp_atr_mult': 1.5}:SP500:1",BUY,7600.93,7599.044798507353,7614.506571428572,0.16,1.0,0,0,,0,0,15,OPEN,,0,0,0
2026-06-03T10:45:01.393970+00:00,2026-06-03T10:45:01.393970+00:00,SP500,"volatility_{'volatility_window': 14, 'volatility_threshold': 1.2, 'stop_atr_mult': 0.5, 'tp_atr_mult': 1.5}","volatility_{'volatility_window': 14, 'volatility_threshold': 1.2, 'stop_atr_mult': 0.5, 'tp_atr_mult': 1.5}:SP500:1",SELL,7600.78,7602.952857142857,7593.461428571429,0.11,1.0,0,0,,0,0,15,OPEN,,0,0,0
2026-06-03T10:45:01.430402+00:00,2026-06-03T10:45:01.430402+00:00,SP500,"bollinger_{'period': 15, 'std_dev': 1.5, 'stop_atr_mult': 0.5, 'tp_atr_mult': 1.3}","bollinger_{'period': 15, 'std_dev': 1.5, 'stop_atr_mult': 0.5, 'tp_atr_mult': 1.3}:SP500:1",BUY,7600.93,7600.0535390607365,7613.302761904762,0.47,1.0,0,0,,0,0,15,OPEN,,0,0,0
2026-06-03T10:45:01.467346+00:00,2026-06-03T10:45:01.467346+00:00,SP500,"bollinger_{'period': 25, 'std_dev': 2.5, 'stop_atr_mult': 0.7, 'tp_atr_mult': 1.8}","bollinger_{'period': 25, 'std_dev': 2.5, 'stop_atr_mult': 0.7, 'tp_atr_mult': 1.8}:SP500:1",BUY,7600.93,7597.086194099476,7616.808685714286,0.07,1.0,0,0,,0,0,15,OPEN,,0,0,0
2026-06-03T10:45:01.502971+00:00,2026-06-03T10:45:01.502971+00:00,SP500,"bollinger_{'period': 18, 'std_dev': 1.8, 'stop_atr_mult': 0.55, 'tp_atr_mult': 1.4}","bollinger_{'period': 18, 'std_dev': 1.8, 'stop_atr_mult': 0.55, 'tp_atr_mult': 1.4}:SP500:1",BUY,7600.93,7599.524143234825,7613.991777777777,0.24,1.0,0,0,,0,0,15,OPEN,,0,0,0
2026-06-03T10:45:01.539667+00:00,2026-06-03T10:45:01.539667+00:00,SP500,"bollinger_{'period': 22, 'std_dev': 2.2, 'stop_atr_mult': 0.65, 'tp_atr_mult': 1.6}","bollinger_{'period': 22, 'std_dev': 2.2, 'stop_atr_mult': 0.65, 'tp_atr_mult': 1.6}:SP500:1",BUY,7600.93,7598.4845136330505,7615.221324675325,0.12,1.0,0,0,,0,0,15,OPEN,,0,0,0
2026-06-03T10:45:01.575398+00:00,2026-06-03T10:45:01.575398+00:00,SP500,"volatility_{'volatility_window': 10, 'volatility_threshold': 1.0, 'stop_atr_mult': 0.4, 'tp_atr_mult': 1.2}","volatility_{'volatility_window': 10, 'volatility_threshold': 1.0, 'stop_atr_mult': 0.4, 'tp_atr_mult': 1.2}:SP500:1",SELL,7600.78,7602.478285714285,7594.885142857143,0.13,1.0,0,0,,0,0,15,OPEN,,0,0,0
2026-06-03T10:45:01.612638+00:00,2026-06-03T10:45:01.612638+00:00,SP500,"volatility_{'volatility_window': 12, 'volatility_threshold': 1.4, 'stop_atr_mult': 0.45, 'tp_atr_mult': 1.35}","volatility_{'volatility_window': 12, 'volatility_threshold': 1.4, 'stop_atr_mult': 0.45, 'tp_atr_mult': 1.35}:SP500:1",SELL,7600.78,7602.715571428571,7594.173285714286,0.12,1.0,0,0,,0,0,15,OPEN,,0,0,0
