time,equity
2026-01-30 17:45:00,10000.0
2026-01-30 18:00:00,10000.0
2026-01-30 18:15:00,10000.0
2026-01-30 18:30:00,10000.0
2026-01-30 18:45:00,10000.0
2026-01-30 19:00:00,10000.0
2026-01-30 19:15:00,10000.0
2026-01-30 19:30:00,10000.0
2026-01-30 19:45:00,10000.0
2026-01-30 20:00:00,10000.0
2026-01-30 20:15:00,10000.0
2026-01-30 20:30:00,10300.0
2026-01-30 20:45:00,10197.0
2026-01-30 21:00:00,10095.03
2026-01-30 21:15:00,10397.880900000018
2026-01-30 21:30:00,10397.880900000018
2026-01-30 21:45:00,10397.880900000018
2026-01-30 22:00:00,10397.880900000018
2026-01-30 22:15:00,10397.880900000018
2026-01-30 22:30:00,10397.880900000018
2026-01-30 22:45:00,10397.880900000018
2026-01-30 23:00:00,10397.880900000018
2026-01-30 23:15:00,10397.880900000018
2026-01-30 23:30:00,10397.880900000018
2026-01-30 23:45:00,10397.880900000018
2026-02-02 01:00:00,10397.880900000018
2026-02-02 01:15:00,11031.111846810016
2026-02-02 01:30:00,11031.111846810016
2026-02-02 01:45:00,11031.111846810016
2026-02-02 02:00:00,10703.47679384791
2026-02-02 02:15:00,10596.442025909431
2026-02-02 02:30:00,10596.442025909431
2026-02-02 02:45:00,10596.442025909431
2026-02-02 03:00:00,15269.638650104123
2026-02-02 03:15:00,15269.638650104123
2026-02-02 03:30:00,15269.638650104123
2026-02-02 03:45:00,15269.638650104123
2026-02-02 04:00:00,15269.638650104123
2026-02-02 04:15:00,15269.638650104123
2026-02-02 04:30:00,15269.638650104123
2026-02-02 04:45:00,15269.638650104123
2026-02-02 05:00:00,15269.638650104123
2026-02-02 05:15:00,15269.638650104123
2026-02-02 05:30:00,15269.638650104123
2026-02-02 05:45:00,15269.638650104123
2026-02-02 06:00:00,15269.638650104123
2026-02-02 06:15:00,15269.638650104123
2026-02-02 06:30:00,15269.638650104123
2026-02-02 06:45:00,15269.638650104123
2026-02-02 07:00:00,15269.638650104123
2026-02-02 07:15:00,15269.638650104123
2026-02-02 07:30:00,15269.638650104123
2026-02-02 07:45:00,15269.638650104123
2026-02-02 08:00:00,15269.638650104123
2026-02-02 08:15:00,15269.638650104123
2026-02-02 08:30:00,15269.638650104123
2026-02-02 08:45:00,15269.638650104123
2026-02-02 09:00:00,15269.638650104123
2026-02-02 09:15:00,15269.638650104123
2026-02-02 09:30:00,15269.638650104123
2026-02-02 09:45:00,15269.638650104123
2026-02-02 10:00:00,15269.638650104123
2026-02-02 10:15:00,15269.638650104123
2026-02-02 10:30:00,15269.638650104123
