time,equity
2024-10-04 06:45:00,10000.0
2024-10-04 07:00:00,10000.0
2024-10-04 07:15:00,10000.0
2024-10-04 07:30:00,10000.0
2024-10-04 07:45:00,10000.0
2024-10-04 08:00:00,10000.0
2024-10-04 08:15:00,10000.0
2024-10-04 08:30:00,10000.0
2024-10-04 08:45:00,10000.0
2024-10-04 09:00:00,10000.0
2024-10-04 09:15:00,10000.0
2024-10-04 09:30:00,10000.0
2024-10-04 09:45:00,10000.0
2024-10-04 10:00:00,10000.0
2024-10-04 10:15:00,10000.0
2024-10-04 10:30:00,10000.0
2024-10-04 10:45:00,10000.0
2024-10-04 11:00:00,10000.0
2024-10-04 11:15:00,10000.0
2024-10-04 11:30:00,10000.0
2024-10-04 11:45:00,10000.0
2024-10-04 12:00:00,10000.0
2024-10-04 12:15:00,10000.0
2024-10-04 12:30:00,10000.0
2024-10-04 12:45:00,10000.0
2024-10-04 13:00:00,10000.0
2024-10-04 13:15:00,10000.0
2024-10-04 13:30:00,10000.0
2024-10-04 13:45:00,10000.0
2024-10-04 14:00:00,10000.0
2024-10-04 14:15:00,10000.0
2024-10-04 14:30:00,10000.0
2024-10-04 14:45:00,10000.0
2024-10-04 15:00:00,10000.0
2024-10-04 15:15:00,10000.0
2024-10-04 15:30:00,10000.0
2024-10-04 15:45:00,10000.0
2024-10-04 16:00:00,9900.0
2024-10-04 16:15:00,9900.0
2024-10-04 16:30:00,9801.0
2024-10-04 16:45:00,9801.0
2024-10-04 17:00:00,9801.0
2024-10-04 17:15:00,9801.0
2024-10-04 17:30:00,9801.0
2024-10-04 17:45:00,9801.0
2024-10-04 18:00:00,9801.0
2024-10-04 18:15:00,9801.0
2024-10-04 18:30:00,9801.0
2024-10-04 18:45:00,9702.99
2024-10-04 19:00:00,9702.99
2024-10-04 19:15:00,9801.0
2024-10-04 19:30:00,9801.0
2024-10-04 19:45:00,9801.0
2024-10-04 20:00:00,9801.0
2024-10-04 20:15:00,9801.0
2024-10-04 20:30:00,9801.0
2024-10-04 20:45:00,9801.0
2024-10-04 21:00:00,9801.0
2024-10-04 21:15:00,9801.0
2024-10-04 21:30:00,9801.0
2024-10-04 21:45:00,9801.0
2024-10-04 22:00:00,9801.0
2024-10-04 22:15:00,9801.0
2024-10-04 22:30:00,9801.0
2024-10-04 22:45:00,9801.0
2024-10-04 23:00:00,9801.0
2024-10-04 23:15:00,9801.0
2024-10-04 23:30:00,9801.0
2024-10-04 23:45:00,9801.0
2024-10-07 00:00:00,9801.0
2024-10-07 00:15:00,9801.0
2024-10-07 00:30:00,9801.0
2024-10-07 00:45:00,9801.0
2024-10-07 01:00:00,9801.0
2024-10-07 01:15:00,9801.0
2024-10-07 01:30:00,9801.0
2024-10-07 01:45:00,9801.0
2024-10-07 02:00:00,9801.0
2024-10-07 02:15:00,9801.0
2024-10-07 02:30:00,9801.0
2024-10-07 02:45:00,9801.0
2024-10-07 03:00:00,9801.0
2024-10-07 03:15:00,9801.0
2024-10-07 03:30:00,9801.0
2024-10-07 03:45:00,9801.0
2024-10-07 04:00:00,9801.0
2024-10-07 04:15:00,9801.0
2024-10-07 04:30:00,9801.0
2024-10-07 04:45:00,9801.0
2024-10-07 05:00:00,9801.0
2024-10-07 05:15:00,9801.0
2024-10-07 05:30:00,9801.0
2024-10-07 05:45:00,9801.0
2024-10-07 06:00:00,9801.0
2024-10-07 06:15:00,9801.0
2024-10-07 06:30:00,9801.0
2024-10-07 06:45:00,9801.0
2024-10-07 07:00:00,9801.0
2024-10-07 07:15:00,9801.0
2024-10-07 07:30:00,9801.0
2024-10-07 07:45:00,9801.0
2024-10-07 08:00:00,9801.0
2024-10-07 08:15:00,9801.0
2024-10-07 08:30:00,9801.0
2024-10-07 08:45:00,9801.0
2024-10-07 09:00:00,9702.99
2024-10-07 09:15:00,9996.662083900646
2024-10-07 09:30:00,9996.662083900646
2024-10-07 09:45:00,9996.662083900646
2024-10-07 10:00:00,9996.662083900646
2024-10-07 10:15:00,9996.662083900646
2024-10-07 10:30:00,9996.662083900646
2024-10-07 10:45:00,9996.662083900646
2024-10-07 11:00:00,10202.2431572645
2024-10-07 11:15:00,10202.2431572645
2024-10-07 11:30:00,10202.2431572645
2024-10-07 11:45:00,10202.2431572645
2024-10-07 12:00:00,10202.2431572645
2024-10-07 12:15:00,10202.2431572645
2024-10-07 12:30:00,10202.2431572645
2024-10-07 12:45:00,10100.220725691855
2024-10-07 13:00:00,10100.220725691855
2024-10-07 13:15:00,10276.91567043721
2024-10-07 13:30:00,10276.91567043721
2024-10-07 13:45:00,10276.91567043721
2024-10-07 14:00:00,10276.91567043721
2024-10-07 14:15:00,10276.91567043721
2024-10-07 14:30:00,10276.91567043721
2024-10-07 14:45:00,10276.91567043721
2024-10-07 15:00:00,10276.91567043721
2024-10-07 15:15:00,10276.91567043721
2024-10-07 15:30:00,10276.91567043721
2024-10-07 15:45:00,10276.91567043721
2024-10-07 16:00:00,10276.91567043721
2024-10-07 16:15:00,10276.91567043721
2024-10-07 16:30:00,10276.91567043721
2024-10-07 16:45:00,10276.91567043721
2024-10-07 17:00:00,10174.146513732838
2024-10-07 17:15:00,10174.146513732838
2024-10-07 17:30:00,10174.146513732838
2024-10-07 17:45:00,10174.146513732838
2024-10-07 18:00:00,10174.146513732838
2024-10-07 18:15:00,10174.146513732838
2024-10-07 18:30:00,10174.146513732838
2024-10-07 18:45:00,10174.146513732838
2024-10-07 19:00:00,10174.146513732838
2024-10-07 19:15:00,10174.146513732838
2024-10-07 19:30:00,10174.146513732838
2024-10-07 19:45:00,10174.146513732838
2024-10-07 20:00:00,10174.146513732838
2024-10-07 20:15:00,10174.146513732838
2024-10-07 20:30:00,10072.405048595509
2024-10-07 20:45:00,10072.405048595509
2024-10-07 21:00:00,10072.405048595509
2024-10-07 21:15:00,10072.405048595509
2024-10-07 21:30:00,10072.405048595509
2024-10-07 21:45:00,10072.405048595509
2024-10-07 22:00:00,10072.405048595509
2024-10-07 22:15:00,10072.405048595509
2024-10-07 22:30:00,10072.405048595509
2024-10-07 22:45:00,10072.405048595509
2024-10-07 23:00:00,10072.405048595509
2024-10-07 23:15:00,10072.405048595509
2024-10-07 23:30:00,10072.405048595509
2024-10-07 23:45:00,10072.405048595509
2024-10-08 00:00:00,10072.405048595509
2024-10-08 00:15:00,10072.405048595509
2024-10-08 00:30:00,10072.405048595509
2024-10-08 00:45:00,10072.405048595509
2024-10-08 01:00:00,10072.405048595509
2024-10-08 01:15:00,10072.405048595509
2024-10-08 01:30:00,10328.749686661735
2024-10-08 01:45:00,10328.749686661735
2024-10-08 02:00:00,10328.749686661735
2024-10-08 02:15:00,10328.749686661735
2024-10-08 02:30:00,10328.749686661735
2024-10-08 02:45:00,10328.749686661735
2024-10-08 03:00:00,10328.749686661735
2024-10-08 03:15:00,10328.749686661735
2024-10-08 03:30:00,10328.749686661735
2024-10-08 03:45:00,10328.749686661735
2024-10-08 04:00:00,10328.749686661735
2024-10-08 04:15:00,10328.749686661735
2024-10-08 04:30:00,10328.749686661735
2024-10-08 04:45:00,10328.749686661735
2024-10-08 05:00:00,10328.749686661735
2024-10-08 05:15:00,10328.749686661735
2024-10-08 05:30:00,10662.000265632592
2024-10-08 05:45:00,10662.000265632592
2024-10-08 06:00:00,10662.000265632592
2024-10-08 06:15:00,10662.000265632592
2024-10-08 06:30:00,10662.000265632592
2024-10-08 06:45:00,10662.000265632592
2024-10-08 07:00:00,10662.000265632592
2024-10-08 07:15:00,10662.000265632592
2024-10-08 07:30:00,10662.000265632592
2024-10-08 07:45:00,10662.000265632592
2024-10-08 08:00:00,10662.000265632592
2024-10-08 08:15:00,10662.000265632592
2024-10-08 08:30:00,10662.000265632592
2024-10-08 08:45:00,10662.000265632592
2024-10-08 09:00:00,10662.000265632592
2024-10-08 09:15:00,10662.000265632592
2024-10-08 09:30:00,10662.000265632592
2024-10-08 09:45:00,10662.000265632592
2024-10-08 10:00:00,10662.000265632592
2024-10-08 10:15:00,10662.000265632592
2024-10-08 10:30:00,10662.000265632592
2024-10-08 10:45:00,10662.000265632592
2024-10-08 11:00:00,10555.380262976267
2024-10-08 11:15:00,10555.380262976267
2024-10-08 11:30:00,10879.156599712496
2024-10-08 11:45:00,10879.156599712496
2024-10-08 12:00:00,10879.156599712496
2024-10-08 12:15:00,10879.156599712496
2024-10-08 12:30:00,10879.156599712496
2024-10-08 12:45:00,10879.156599712496
2024-10-08 13:00:00,10879.156599712496
2024-10-08 13:15:00,10879.156599712496
2024-10-08 13:30:00,11085.694347543387
2024-10-08 13:45:00,11085.694347543387
2024-10-08 14:00:00,11085.694347543387
2024-10-08 14:15:00,11085.694347543387
2024-10-08 14:30:00,11085.694347543387
2024-10-08 14:45:00,11085.694347543387
2024-10-08 15:00:00,11085.694347543387
2024-10-08 15:15:00,11085.694347543387
2024-10-08 15:30:00,11085.694347543387
2024-10-08 15:45:00,11085.694347543387
2024-10-08 16:00:00,11085.694347543387
2024-10-08 16:15:00,11085.694347543387
2024-10-08 16:30:00,11085.694347543387
2024-10-08 16:45:00,11085.694347543387
2024-10-08 17:00:00,11085.694347543387
2024-10-08 17:15:00,11085.694347543387
2024-10-08 17:30:00,10974.837404067954
2024-10-08 17:45:00,10974.837404067954
2024-10-08 18:00:00,10974.837404067954
2024-10-08 18:15:00,10974.837404067954
2024-10-08 18:30:00,10865.089030027275
2024-10-08 18:45:00,10865.089030027275
2024-10-08 19:00:00,10865.089030027275
2024-10-08 19:15:00,10865.089030027275
2024-10-08 19:30:00,10865.089030027275
2024-10-08 19:45:00,10865.089030027275
2024-10-08 20:00:00,10865.089030027275
2024-10-08 20:15:00,10865.089030027275
2024-10-08 20:30:00,10865.089030027275
2024-10-08 20:45:00,10865.089030027275
2024-10-08 21:00:00,10865.089030027275
2024-10-08 21:15:00,10865.089030027275
2024-10-08 21:30:00,10865.089030027275
