time,equity
2025-10-30 10:45:00,10000.0
2025-10-30 11:00:00,10000.0
2025-10-30 11:15:00,10000.0
2025-10-30 11:30:00,10000.0
2025-10-30 11:45:00,10000.0
2025-10-30 12:00:00,10000.0
2025-10-30 12:15:00,10000.0
2025-10-30 12:30:00,10000.0
2025-10-30 12:45:00,10000.0
2025-10-30 13:00:00,10000.0
2025-10-30 13:15:00,10000.0
2025-10-30 13:30:00,9900.0
2025-10-30 13:45:00,9801.0
2025-10-30 14:00:00,9702.99
2025-10-30 14:15:00,9605.9601
2025-10-30 14:30:00,9605.9601
2025-10-30 14:45:00,9605.9601
2025-10-30 15:00:00,9605.9601
2025-10-30 15:15:00,9605.9601
2025-10-30 15:30:00,9605.9601
2025-10-30 15:45:00,9509.900499
2025-10-30 16:00:00,9509.900499
2025-10-30 16:15:00,9509.900499
2025-10-30 16:30:00,9509.900499
2025-10-30 16:45:00,9509.900499
2025-10-30 17:00:00,9509.900499
2025-10-30 17:15:00,9509.900499
2025-10-30 17:30:00,9414.80149401
2025-10-30 17:45:00,9414.80149401
2025-10-30 18:00:00,9414.80149401
2025-10-30 18:15:00,9414.80149401
2025-10-30 18:30:00,9414.80149401
2025-10-30 18:45:00,9414.80149401
2025-10-30 19:00:00,9414.80149401
2025-10-30 19:15:00,9414.80149401
2025-10-30 19:30:00,9414.80149401
2025-10-30 19:45:00,9414.80149401
2025-10-30 20:00:00,9414.80149401
2025-10-30 20:15:00,9414.80149401
2025-10-30 20:30:00,9414.80149401
2025-10-30 20:45:00,9414.80149401
2025-10-30 21:00:00,9414.80149401
2025-10-30 21:15:00,9414.80149401
2025-10-30 21:30:00,9414.80149401
2025-10-30 21:45:00,9414.80149401
2025-10-30 22:00:00,9414.80149401
2025-10-30 22:15:00,9414.80149401
2025-10-30 22:30:00,9414.80149401
2025-10-30 22:45:00,9414.80149401
2025-10-30 23:00:00,9414.80149401
2025-10-30 23:15:00,9414.80149401
2025-10-30 23:30:00,9414.80149401
2025-10-30 23:45:00,9414.80149401
2025-10-31 01:00:00,8953.382542587166
2025-10-31 01:15:00,8953.382542587166
2025-10-31 01:30:00,8953.382542587166
2025-10-31 01:45:00,13965.60949435134
2025-10-31 02:00:00,13965.60949435134
2025-10-31 02:15:00,13825.953399407827
2025-10-31 02:30:00,13825.953399407827
2025-10-31 02:45:00,13825.953399407827
2025-10-31 03:00:00,13825.953399407827
2025-10-31 03:15:00,13825.953399407827
2025-10-31 03:30:00,13825.953399407827
2025-10-31 03:45:00,13825.953399407827
2025-10-31 04:00:00,13825.953399407827
2025-10-31 04:15:00,13825.953399407827
2025-10-31 04:30:00,13825.953399407827
2025-10-31 04:45:00,12894.325893123403
2025-10-31 05:00:00,13032.28711415575
2025-10-31 05:15:00,13032.28711415575
2025-10-31 05:30:00,13032.28711415575
2025-10-31 05:45:00,13032.28711415575
2025-10-31 06:00:00,12901.964243014192
2025-10-31 06:15:00,12901.964243014192
