time,portfolio_equity
2026-01-28 05:45:00,100000.0
2026-01-28 06:00:00,100000.0
2026-01-28 06:15:00,100000.0
2026-01-28 06:30:00,100000.0
2026-01-28 06:45:00,100000.0
2026-01-28 07:00:00,100000.0
2026-01-28 07:15:00,100000.0
2026-01-28 07:30:00,100000.0
2026-01-28 07:45:00,100000.0
2026-01-28 08:00:00,100000.0
2026-01-28 08:15:00,100000.0
2026-01-28 08:30:00,99666.66666666667
2026-01-28 08:45:00,99666.66666666667
2026-01-28 09:00:00,99336.66666666667
2026-01-28 09:15:00,99009.96666666667
2026-01-28 09:30:00,101676.36666666661
2026-01-28 09:45:00,98686.53366666668
2026-01-28 10:00:00,102726.65766666655
2026-01-28 10:15:00,102726.65766666655
2026-01-28 10:30:00,102726.65766666655
2026-01-28 10:45:00,98366.33499666667
2026-01-28 11:00:00,102366.05775666655
2026-01-28 11:15:00,98049.33831336666
2026-01-28 11:30:00,97735.51159689968
2026-01-28 11:45:00,100616.43238074527
2026-01-28 12:00:00,100616.43238074527
2026-01-28 12:15:00,100616.43238074527
2026-01-28 12:30:00,100616.43238074527
2026-01-28 12:45:00,100616.43238074527
2026-01-28 13:00:00,97424.82314759734
2026-01-28 13:15:00,100276.93472360447
2026-01-28 13:30:00,100276.93472360447
2026-01-28 13:45:00,100276.93472360447
2026-01-28 14:00:00,100276.93472360447
2026-01-28 14:15:00,100276.93472360447
2026-01-28 14:30:00,100276.93472360447
2026-01-28 14:45:00,100276.93472360447
2026-01-28 15:00:00,100276.93472360447
2026-01-28 15:15:00,100276.93472360447
2026-01-28 15:30:00,100276.93472360447
2026-01-28 15:45:00,100276.93472360447
2026-01-28 16:00:00,100276.93472360447
2026-01-28 16:15:00,100276.93472360447
2026-01-28 16:30:00,98347.56784202527
2026-01-28 16:45:00,98030.75883027168
2026-01-28 17:00:00,97717.11790863563
2026-01-28 17:15:00,101285.24276531264
2026-01-28 17:30:00,97406.61339621594
2026-01-28 17:45:00,100939.05700432617
2026-01-28 18:00:00,100939.05700432617
2026-01-28 18:15:00,97099.21392892045
2026-01-28 18:30:00,100596.33310094959
2026-01-28 18:45:00,100596.33310094959
2026-01-28 19:00:00,100596.33310094959
2026-01-28 19:15:00,100596.33310094959
2026-01-28 19:30:00,100596.33310094959
2026-01-28 19:45:00,100596.33310094959
2026-01-28 20:00:00,100596.33310094959
2026-01-28 20:15:00,100596.33310094959
2026-01-28 20:30:00,100596.33310094959
2026-01-28 20:45:00,100596.33310094959
2026-01-28 21:00:00,100596.33310094959
2026-01-28 21:15:00,100596.33310094959
2026-01-28 21:30:00,100596.33310094959
2026-01-28 21:45:00,100596.33310094959
2026-01-28 22:00:00,100596.33310094959
2026-01-28 22:15:00,100596.33310094959
2026-01-28 22:30:00,100596.33310094959
2026-01-28 22:45:00,101596.33310094962
2026-01-28 23:00:00,101252.99976761627
2026-01-28 23:15:00,99932.99976761625
2026-01-28 23:30:00,100913.09976761628
2026-01-28 23:45:00,100913.0997676162
2026-01-29 01:00:00,100576.59876761629
2026-01-29 01:15:00,100243.46277761628
