time,portfolio_equity
2026-01-28 09:30:00,100000.0
2026-01-28 09:45:00,100000.0
2026-01-28 10:00:00,100000.0
2026-01-28 10:15:00,100000.0
2026-01-28 10:30:00,100000.0
2026-01-28 10:45:00,100000.0
2026-01-28 11:00:00,100000.0
2026-01-28 11:15:00,100000.0
2026-01-28 11:30:00,100000.0
2026-01-28 11:45:00,100000.0
2026-01-28 12:00:00,100000.0
2026-01-28 12:15:00,100000.0
2026-01-28 12:30:00,99336.66666666669
2026-01-28 12:45:00,99336.66666666669
2026-01-28 13:00:00,99336.66666666669
2026-01-28 13:15:00,99336.66666666669
2026-01-28 13:30:00,99336.66666666669
2026-01-28 13:45:00,98686.53366666668
2026-01-28 14:00:00,98686.53366666668
2026-01-28 14:15:00,98686.53366666668
2026-01-28 14:30:00,98686.53366666668
2026-01-28 14:45:00,98686.53366666668
2026-01-28 15:00:00,98366.33499666667
2026-01-28 15:15:00,98366.33499666667
2026-01-28 15:30:00,98366.33499666667
2026-01-28 15:45:00,98366.33499666667
2026-01-28 16:00:00,98366.33499666667
2026-01-28 16:15:00,100979.67363666667
2026-01-28 16:30:00,99647.12967666672
2026-01-28 16:45:00,99317.32504656672
2026-01-28 17:00:00,100979.67363666667
2026-01-28 17:15:00,100979.67363666667
2026-01-28 17:30:00,103069.33576113966
2026-01-28 17:45:00,103069.33576113966
2026-01-28 18:00:00,103069.33576113966
2026-01-28 18:15:00,103069.33576113966
2026-01-28 18:30:00,104161.41583397388
2026-01-28 18:45:00,106444.84605826289
2026-01-28 19:00:00,106444.84605826289
2026-01-28 19:15:00,106047.06426434693
2026-01-28 19:30:00,106047.06426434693
2026-01-28 19:45:00,106047.06426434693
2026-01-28 20:00:00,106047.06426434693
2026-01-28 20:15:00,106047.06426434693
2026-01-28 20:30:00,106047.06426434693
2026-01-28 20:45:00,106047.06426434693
2026-01-28 21:00:00,104877.42707529824
2026-01-28 21:15:00,104877.42707529824
2026-01-28 21:30:00,104877.42707529824
2026-01-28 21:45:00,103742.52928040148
2026-01-28 22:00:00,104495.31947121193
2026-01-28 22:15:00,104117.03294316647
2026-01-28 22:30:00,104117.03294316647
2026-01-28 22:45:00,104117.03294316647
2026-01-28 23:00:00,114163.89312094476
2026-01-28 23:15:00,113688.920856402
2026-01-28 23:30:00,113218.69831450464
2026-01-28 23:45:00,113218.69831450464
2026-01-29 01:00:00,113218.69831450464
2026-01-29 01:15:00,113218.69831450464
2026-01-29 01:30:00,113218.69831450464
2026-01-29 01:45:00,113218.69831450464
2026-01-29 02:00:00,113218.69831450464
2026-01-29 02:15:00,113218.69831450464
2026-01-29 02:30:00,113218.69831450464
2026-01-29 02:45:00,113218.69831450464
