run,final_balance,max_drawdown_pct,trades_total,per_instrument_trades,pass_gate
2,1391086.1368153738,85.33388207042574,1603,"{'NAS100': 1028, 'EURUSD': 263, 'XAUUSD': 312}",False
1,816514.9993308462,73.75846524568743,2068,"{'NAS100': 732, 'EURUSD': 263, 'XAUUSD': 1073}",False
3,1033829.1918713086,84.81392952014792,2242,"{'NAS100': 916, 'EURUSD': 260, 'XAUUSD': 1066}",False
4,1363892.4922266884,87.83131246578371,2252,"{'NAS100': 927, 'EURUSD': 261, 'XAUUSD': 1064}",False
5,1049908.688739973,82.01542608346661,2332,"{'NAS100': 1002, 'EURUSD': 264, 'XAUUSD': 1066}",False
6,1723696.0446199148,88.94325384885302,2348,"{'NAS100': 1023, 'EURUSD': 259, 'XAUUSD': 1066}",False
7,1049159.7688730161,69.03992126983279,2223,"{'NAS100': 904, 'EURUSD': 262, 'XAUUSD': 1057}",False
8,1111116.8102800571,88.11311399363693,2263,"{'NAS100': 927, 'EURUSD': 263, 'XAUUSD': 1073}",False
9,1559292.5767252618,84.09195028977784,2061,"{'NAS100': 940, 'EURUSD': 57, 'XAUUSD': 1064}",False
10,1092971.4178774238,84.18738571743354,2096,"{'NAS100': 1005, 'EURUSD': 33, 'XAUUSD': 1058}",False
