symbol,preset,month,return_pct,total_trades,win_rate,avg_r,max_drawdown_pct
EURUSD,smc_core,2024-08,0.4949015353496361,10.0,50.0,0.20001461927896774,1.8010182586870123
EURUSD,smc_core,2024-09,-1.9127557095758676,18.0,44.44444444444444,-0.17165811417097937,5.291068037556294
EURUSD,smc_core,2024-10,-2.108758848035195,23.0,47.82608695652174,-0.18729273482903808,5.222305842698006
EURUSD,smc_core,2024-11,0.32331189942135097,15.0,60.0,0.1550396017031207,3.930574664864143
EURUSD,smc_core,2024-12,-3.4498117399134935,12.0,25.0,-0.3869325620511938,5.068300943399434
EURUSD,smc_core,2025-01,-4.371974295240125,15.0,26.666666666666668,-0.418168459112597,5.362043803319311
EURUSD,smc_core,2025-02,-3.0347033261529757,17.0,47.05882352941176,-0.24283786025708612,4.354735032599598
EURUSD,smc_core,2025-03,0.6642578142461388,14.0,64.28571428571429,0.10438433150472304,1.8350877432331825
EURUSD,smc_core,2025-04,-2.837356148548424,19.0,36.84210526315789,-0.1362278973236081,4.196430518406876
EURUSD,smc_core,2025-05,0.8643650616244303,25.0,56.00000000000001,0.012873987371893839,3.503239836494143
EURUSD,smc_core,2025-06,8.711420124135639,19.0,78.94736842105263,0.45026807002625074,1.0267788829380837
EURUSD,smc_core,2025-07,2.2338540491476486,21.0,52.38095238095239,0.08132724453802334,3.633639068394471
EURUSD,smc_core,2025-08,-2.475720973222378,19.0,47.368421052631575,-0.21966035279239085,5.203424736905041
EURUSD,smc_core,2025-09,-5.105189492549762,10.0,30.0,-0.5921059479602027,5.105189492549762
EURUSD,smc_core,2025-10,-3.8114231832228866,19.0,42.10526315789473,-0.18844373304585535,5.074553506464993
EURUSD,smc_core,2025-11,0.6257254213993656,16.0,56.25,0.04164851539581374,4.176822828464714
EURUSD,smc_core,2025-12,-4.614542337502881,7.0,14.285714285714285,-0.7879171370685892,5.059093225846416
EURUSD,smc_core,2026-01,2.6432762071972866,25.0,56.00000000000001,0.14689743020472515,3.919879972871377
EURUSD,smc_core,2026-02,-3.220135093463814,18.0,44.44444444444444,-0.2109374374876035,5.334633367200491
EURUSD,smc_core,2026-03,1.497352132464166,33.0,54.54545454545454,0.041718127492906265,4.534384584610682
EURUSD,smc_core,2026-04,0.3203871700451782,22.0,54.54545454545454,0.014523519891224114,3.1128962821515938
EURUSD,smc_core,2026-05,-0.7553991401498206,18.0,50.0,-0.08620842252728221,2.8702368085674386
EURUSD,smc_conservative,2024-08,-3.816712569961401,7.0,14.285714285714285,-0.6882441457217404,3.816712569961401
EURUSD,smc_conservative,2024-09,-1.237392601607953,5.0,20.0,-0.367380907069088,1.7861933073308598
EURUSD,smc_conservative,2024-10,7.94802909670072,7.0,71.42857142857143,1.0403469821756324,0.8281690140845606
EURUSD,smc_conservative,2024-11,3.202139780608504,8.0,50.0,0.4760318663373023,1.0164589701387559
EURUSD,smc_conservative,2024-12,-3.0376262295404013,8.0,25.0,-0.48748588218475997,3.676681932767666
EURUSD,smc_conservative,2025-01,-5.20191079132881,10.0,20.0,-0.7308250521559125,5.2271138750164345
EURUSD,smc_conservative,2025-02,-3.0494045851908234,5.0,20.0,-0.6578802505272044,3.0494045851908234
EURUSD,smc_conservative,2025-03,2.059431148679305,7.0,28.57142857142857,0.2713826108454853,2.770024117074274
EURUSD,smc_conservative,2025-04,-3.440723290316673,11.0,18.181818181818183,-0.3570679126350311,4.57738740323414
EURUSD,smc_conservative,2025-05,3.843592426747764,9.0,44.44444444444444,0.3824452070405068,2.165462416355377
EURUSD,smc_conservative,2025-06,-0.7050196498322475,7.0,42.857142857142854,-0.2124484970747192,2.4349286999291326
EURUSD,smc_conservative,2025-07,1.4481884988785352,3.0,33.33333333333333,0.48450808279228846,0.31238239829530356
EURUSD,smc_conservative,2025-08,-4.45526911239107,8.0,25.0,-0.5661297267736841,4.550441603854142
EURUSD,smc_conservative,2025-09,-4.564010427832854,8.0,12.5,-0.6971385063444581,4.564010427832854
EURUSD,smc_conservative,2025-10,-0.8732005180899979,10.0,40.0,-0.1346614165376976,1.9805188574927504
EURUSD,smc_conservative,2025-11,-2.0029781973174248,8.0,12.5,-0.2649918155941491,2.807660521306315
EURUSD,smc_conservative,2025-12,-1.8968403212786504,6.0,16.666666666666664,-0.4602895323996296,2.7126611032614347
EURUSD,smc_conservative,2026-01,5.247220192038331,3.0,66.66666666666666,1.738187517860796,1.0104994750262652
EURUSD,smc_conservative,2026-02,-2.4001544134646244,10.0,20.0,-0.2265407400008999,4.449420996486648
EURUSD,smc_conservative,2026-03,0.7558090659505251,6.0,33.33333333333333,0.351828889135355,2.729231453157194
EURUSD,smc_conservative,2026-04,-1.3242286887857881,5.0,40.0,-0.30453163237778175,2.197729879934395
EURUSD,smc_conservative,2026-05,-3.536673921643669,7.0,14.285714285714285,-0.6053497312634114,3.536673921643669
EURUSD,smc_aggressive,2024-08,0.5010082355275881,7.0,57.14285714285714,0.16446166139674992,1.4940187952313835
EURUSD,smc_aggressive,2024-09,-0.21694829943819058,6.0,50.0,-0.06779908917443629,1.2763269178669556
EURUSD,smc_aggressive,2024-10,3.591285523428869,7.0,71.42857142857143,0.43643634021832955,0.828797696184354
EURUSD,smc_aggressive,2024-11,1.7070482970790728,9.0,66.66666666666666,0.21531524091616172,1.1457687361521876
EURUSD,smc_aggressive,2024-12,-2.5141780807040597,8.0,25.0,-0.42837218927707965,3.8534645386384008
EURUSD,smc_aggressive,2025-01,-4.290054909033243,10.0,30.0,-0.5271570729165969,4.6761543984455205
EURUSD,smc_aggressive,2025-02,-1.776164358142869,5.0,40.0,-0.39651068920677535,1.776164358142869
EURUSD,smc_aggressive,2025-03,-0.03982420096454007,8.0,50.0,-0.013078567192792878,2.024063018301549
EURUSD,smc_aggressive,2025-04,-4.412928636665693,13.0,30.76923076923077,-0.3967639791645882,4.857896193444167
EURUSD,smc_aggressive,2025-05,3.9868873479687865,10.0,60.0,0.367667349540849,2.0239695225496876
EURUSD,smc_aggressive,2025-06,-0.34165387880328124,7.0,42.857142857142854,-0.16055167370658344,2.210698921051748
EURUSD,smc_aggressive,2025-07,1.4658725363970735,4.0,75.0,0.4870326357827394,1.0187808542606034
