run,final_balance,max_drawdown_pct,trades_total,per_instrument_trades
2,1391086.1368153738,84.2831916670337,1603,"{'NAS100': 1028, 'EURUSD': 263, 'XAUUSD': 312}"
1,816514.9993308462,73.50931617800414,2068,"{'NAS100': 732, 'EURUSD': 263, 'XAUUSD': 1073}"
3,1033829.1918713086,82.87731101118416,2242,"{'NAS100': 916, 'EURUSD': 260, 'XAUUSD': 1066}"
4,1363892.4922266884,88.16857910783088,2252,"{'NAS100': 927, 'EURUSD': 261, 'XAUUSD': 1064}"
5,1049908.688739973,73.11611335510013,2332,"{'NAS100': 1002, 'EURUSD': 264, 'XAUUSD': 1066}"
6,1723696.0446199148,88.35828096199207,2348,"{'NAS100': 1023, 'EURUSD': 259, 'XAUUSD': 1066}"
7,1049159.7688730161,68.87757149048386,2223,"{'NAS100': 904, 'EURUSD': 262, 'XAUUSD': 1057}"
8,1111116.8102800571,88.28700945063778,2263,"{'NAS100': 927, 'EURUSD': 263, 'XAUUSD': 1073}"
9,1559292.5767252618,84.3301933329412,2061,"{'NAS100': 940, 'EURUSD': 57, 'XAUUSD': 1064}"
10,1092971.4178774238,82.02853321565648,2096,"{'NAS100': 1005, 'EURUSD': 33, 'XAUUSD': 1058}"
12,1035277.7693793748,69.0406131923698,2004,"{'NAS100': 904, 'EURUSD': 43, 'XAUUSD': 1057}"
11,957072.8964211973,78.17270561975714,2256,"{'NAS100': 929, 'EURUSD': 261, 'XAUUSD': 1066}"
13,902738.6089424344,74.5465962230307,2248,"{'NAS100': 936, 'EURUSD': 264, 'XAUUSD': 1048}"
14,1328640.3206481854,82.84408505310289,2228,"{'NAS100': 916, 'EURUSD': 260, 'XAUUSD': 1052}"
15,598705.3228909293,44.439943202579684,1995,"{'NAS100': 723, 'EURUSD': 229, 'XAUUSD': 1043}"
16,1425529.6944359038,86.9306923235578,2347,"{'NAS100': 1011, 'EURUSD': 263, 'XAUUSD': 1073}"
18,965136.26367912,76.07676729794986,1464,"{'NAS100': 200, 'EURUSD': 191, 'XAUUSD': 1073}"
17,1007037.1851883809,78.63072184650835,2277,"{'NAS100': 967, 'EURUSD': 259, 'XAUUSD': 1051}"
19,935696.5805611117,78.20539947087711,1874,"{'NAS100': 553, 'EURUSD': 255, 'XAUUSD': 1066}"
20,987900.7115818296,75.35750862388763,2305,"{'NAS100': 1001, 'EURUSD': 262, 'XAUUSD': 1042}"
