Symbol,EMA,ADX,SL_Mult,RR,Trades,Win_Rate,Profit,Return_Pct,Max_DD,PF
EURUSD,10,10.0,2.5,3.3,587,88.41567291311755,5700958398.525231,57009583.98525232,111960598.38209629,13.32314938402798
XAUUSD,10,10.0,0.7,2.8,5,40.0,1167.3562022070932,11.673562022070929,257.23963999165426,5.538010557956654
NAS100,10,19.0,1.0,2.2,5,40.0,888.7042380509109,8.8870423805091,26.73367233827048,34.24287912284819
