Symbol,EMA,ADX,SL_Mult,RR,Trades,Win_Rate,Profit,Return_Pct,Max_DD,PF
GBPUSD,10,10.0,2.8,3.3,63,92.06349206349206,33593.7575424778,335.937575424778,904.2066625852385,12.917849655745252
EURUSD,80,25.0,2.8,3.3,51,94.11764705882352,29751.080516534654,297.51080516534654,662.4681876243521,23.171480327087806
GBPJPY,60,19.0,1.2,3.3,54,74.07407407407408,13487.398378934136,134.87398378934137,1332.068332449755,3.3681202180193566
USDJPY,60,16.0,2.2,2.7,50,80.0,11005.272948871176,110.05272948871176,1101.877872632951,4.072081863060597
XAUUSD,80,10.0,1.0,2.7,23,30.434782608695656,3031.330889151727,30.313308891517266,794.7793659266681,2.9009494733939496
BTCUSD,100,25.0,1.2,3.3,27,22.22222222222222,2395.1466980752552,23.951466980752556,1707.0163561064728,2.01198660161226
NAS100,100,28.0,1.2,2.2,18,38.88888888888889,2318.261965255381,23.182619652553804,275.34466920657906,2.529808276737784
